NPV,Pop_Deficit,Low_Harvest,Worst_Harvest,Variance
-3997.4415901868447,0.285962311659183,0.0,-156.30849868722035,1137.811484989786
-134.65421827630385,0.055515487401464975,101.0,-3.0406814424058486,0.4415084959460701
-4298.99108452317,0.3443556219283173,0.0,-198.89924690682156,48.320240486949125
-9.904728366261514,0.0488246306215702,101.0,-0.1609084966781153,0.0036715630332453146
-3542.0970878700878,0.2687476323150777,0.0,-165.94110668867313,12.169402158647413
-5162.983944816656,0.4255430591455601,0.0,-176.146525757344,2176.693457393846
-1135.3012504768494,0.12383803996163335,95.25,-46.97480231874542,8400.185174911854
-5023.836118714898,0.40293933839106183,0.0,-171.10630145426236,2140.1268422638996
-5262.890600612769,0.4442694233374108,0.0,-191.10156291191825,2494.6339308431575
-5467.8575935595845,0.4757336001959285,0.0,-176.92270759774442,7067.120338730308
-5077.418919952585,0.4105220583086621,0.0,-173.66848516456025,2173.2456186331374
-4402.757802115615,0.3692085864549342,0.0,-208.34681962055728,8.735446448403154
-4391.658010696826,0.36640004463491066,0.0,-208.11698498235972,7.943347684737741
-5451.841435797457,0.5142815409688225,0.0,-226.04433118034012,1991.643868147063
-2263.048949946108,0.1693517175891243,0.0,-101.34716353481528,59.532339094676544
-128.51575983950582,0.05481139064467523,101.0,-3.5418784212889114,0.2510471514675571
-2923.6064626789303,0.19756956831365868,4.0,-1.3448283764204547,8705.317341038946
-5172.322313938152,0.425684632209062,0.0,-176.7441923072252,2176.934880845646
-3166.2614587578933,0.24150448226544377,0.0,-150.92158459114466,2.4098545394416537
-1642.1496979896956,0.08442555322433033,95.46,-5.985599431385315,6575.043571161218
-1442.9661386019739,0.1357922287770104,86.9,-37.71750329354442,59.25853604991233
-3658.145234448979,0.2569425096271876,2.0,-65.91688186304273,2491.080682458855
-4853.015912248479,0.4346248141604605,0.0,-223.11235503823474,84.69381398705802
-5381.3087839781065,0.47282938634956617,0.0,-208.0777188202618,2711.2925260733573
-2469.0429816034607,0.18923238341861925,0.0,-117.77267025883113,0.8217067625993706
-151.27506301457922,0.05642943065387492,101.0,-3.9696764365158854,0.3951835261112875
-978.2152945254583,0.07069342026553552,99.0,-6.7460553081505985,2403.989527361432
-1774.3766858111933,0.0878437814652296,94.92,-5.856308163442815,7549.571950936973
-2907.2670581915218,0.19871841602385612,4.0,-1.8146672935198247,9626.757859368321
-1136.1785209156637,0.11725855257111789,99.36,-26.641695775435636,50.64486998302556
-5569.77142389643,0.5824214319647638,0.0,-214.7734874667555,4350.0187891883315
-4348.370467915975,0.3420221900425696,0.0,-199.43395726959452,82.34875689972483
-4087.259921821354,0.29511799020273877,1.0,-88.63183397726544,2256.0304792889356
-4434.420797727321,0.3673871587820794,0.0,-208.63885080285323,13.296250265217997
-3405.337756901568,0.2510767607427588,0.0,-155.37347581297396,67.75956239668294
-874.6061231753492,0.08690912094785783,99.0,-9.122821192591962,317.076484340431
-2601.2180185949487,0.11907120874887459,89.33,-4.422818701877997,15051.966439584417
-4079.2149392980873,0.30300575457606227,0.0,-172.36475714631,389.2215327235239
-2347.619703903452,0.1674812115429483,3.01,-31.660612068174768,1331.042578788373
-5288.2593298981465,0.4462721117127444,0.0,-149.99126163114568,4074.3491075462316
-5456.212133174184,0.46885378607248435,0.0,-175.55978855164787,7096.636115280332
-3358.483394361685,0.24145508253102438,0.0,-119.04546397828591,509.88920226668836
-3276.749681877126,0.24173929363364585,0.0,-150.7059226490586,42.539388699867686
-4178.506756978742,0.30664375589438836,0.0,-179.76212969459192,872.6761612326685
-3102.751626081432,0.23561364249948186,0.0,-147.50744252776497,2.582926196859651
-5371.226605857484,0.47376203874201384,0.0,-216.548924714485,2056.654912845912
-4059.376580584545,0.3258890575481428,0.0,-194.19617413191415,4.323054496754566
-4744.082803607786,0.3642690229217516,0.0,-135.79799449672768,2403.7149126514737
-605.7260696784001,0.08798185250293224,100.34,-9.660594682581403,85.20117811090775
-2971.9572911630116,0.21006696173335404,1.99,-71.19893085123935,977.1812190097818
-4914.325813503765,0.46257208493510843,0.0,-227.5180932489297,39.26703054420639
-3684.7833286224463,0.26499388952807823,0.19,-77.43265487197388,1160.0965598813943
-1608.7599249258942,0.08360798864198744,95.83,-4.755496777800139,6827.916102325162
-5555.281394014924,0.519898944538415,0.0,-201.97522758731705,5838.508265731641
-1111.9383579674309,0.11811778439806912,96.95,-47.936569461613296,5951.0496684834225
-2339.5654481900524,0.12909187189623272,41.93,-14.116690382481774,7980.684919139161
-135.57398996607927,0.05599032348015242,101.0,-3.0406814424058486,0.4517906762931587
