c1,r1,w1,c2,r2,w2
0.899912807751138,0.14176069297965166,0.43820552022079984,0.3059307628556369,0.2595652307643378,0.7112648961859472
0.2506081099278358,0.3014961534778917,0.6164354672260631,0.488664333066815,0.06329506152683928,0.22464023416481615
0.09389559201359254,0.21731074495458125,0.1939306527916762,0.6064404586382754,0.958256922453317,0.03512533775526561
0.2839780854202414,0.23661277787158297,0.2504693389560424,0.4163650436151075,0.11066310703132365,0.07774697224093852
0.7811995983083012,0.48700320281325415,0.11651949910492287,0.35579542935356956,0.0535777463697058,0.8828935754975897
0.3415996419538768,0.9896740427622702,0.0701934712455915,0.8339133067991836,0.1358802371767932,0.31577879037395995
0.8868695710916091,0.5052480178963445,0.025766329219951256,0.836137811315366,0.01665501678904191,0.8883201149203169
0.25968037819967527,0.06873261326482238,0.8764248421170303,0.9659107634960049,0.4984398093850002,0.40818959909634545
0.8510748968870133,0.2535552478908992,0.8358714061024174,0.018881609661634546,0.3942874012016391,0.9186376039749324
0.9582607582414816,0.05482281757068963,0.9235907507534709,0.21546335473922618,0.7934084540560681,0.3069866543442066
0.2651050473179932,0.0829662736289231,0.8689239658904294,0.954225064428619,0.49733370644203645,0.4128750073855502
0.25167951070155137,0.0,0.9272665318307567,0.28984426144570485,1.0,0.2150782159985619
0.25167951070155137,0.0,0.9272665318307567,0.28396073246953785,1.0,0.2150782159985619
0.25968037819967527,0.06873261326482238,0.8764248421170303,0.9659107634960049,0.9238854481955749,0.40818959909634545
1.0,0.32493428859095197,0.06937450812512361,0.030014704411175583,0.24548922344205187,0.7761810695676608
0.015471330643457182,0.396435760042124,0.334551466037773,0.19837625838367323,0.18185484065530022,0.06148601985353394
0.2651050473179932,0.0894559999668038,0.8689239658904294,0.9721170829458725,0.1290771986359094,0.4128750073855502
0.3476340594453339,0.9939924447989188,0.0701934712455915,0.8339133067991836,0.1358802371767932,0.31577879037395995
0.4458391515000553,0.12049352370499722,1.0,0.7717405629939234,0.47734687284526356,0.11014593276810014
0.0,0.3911325597219748,0.34199956709833035,1.0,0.03011238288363627,0.18401214703092839
0.0,0.5440159696154513,0.6165831692437613,0.5234125972391532,0.10313471335733948,0.4978050092757472
0.9826155978567884,0.2417973354168852,0.33801919928481605,0.03491789308496174,0.1302201927551313,0.8677698787566543
0.6924581785768942,0.4316136105201179,0.17075277084870732,0.0,0.29390729795166726,0.6818086588237695
0.8612806065662982,0.396435760042124,0.334551466037773,0.19837625838367323,0.18185484065530022,0.5039104164490278
0.7572362052157098,0.6052380623027936,0.03132082659341151,0.6298133098934331,0.0,0.3939288398089061
0.29463731949065863,0.32493428859095197,0.2200736529062838,0.05247357878779689,0.24548922344205187,0.7761810695676608
0.0,0.3911325597219748,0.7304754700512737,1.0,0.03011238288363627,0.18401214703092839
0.0,0.3911325597219748,0.9954871338419253,1.0,0.03011238288363627,0.6051165920126512
0.25968037819967527,0.06873261326482238,0.8764248421170303,0.9659107634960049,0.12436093140296522,0.40818959909634545
0.0,0.4839621764778992,0.43729645813404866,0.0,0.4793401822373886,0.659535082183794
1.0,0.9002765891293528,0.7357990784910668,0.9493205124707543,0.0,1.0
0.09389559201359254,0.21731074495458125,0.1939306527916762,0.6994545925724737,0.958256922453317,0.03512533775526561
0.8319922633546564,0.19920646964105093,0.19240884847678064,0.9620472647302668,0.03155298974177512,0.8207784399539155
0.3476340594453339,0.9939924447989188,0.0701934712455915,0.013287433850684649,0.1358802371767932,0.31577879037395995
0.901177433582836,0.48700320281325415,0.11651949910492287,0.35579542935356956,0.0535777463697058,0.8828935754975897
1.0,0.07053357013753547,0.06937450812512361,0.030014704411175583,0.24548922344205187,0.7761810695676608
0.0,0.3911325597219748,0.34199956709833035,1.0,0.03011238288363627,0.4535556267434364
0.9135184838432753,0.38508021469382536,0.11298777470763144,0.5878183800464647,0.01761268027109808,0.5075839049572649
0.2651050473179932,0.0894559999668038,0.8689239658904294,0.9721170829458725,0.1290771986359094,0.2023732842523609
0.25968037819967527,0.06873261326482238,0.8764248421170303,0.9659107634960049,0.4984398093850002,0.6003357766565335
0.9582607582414816,0.05482281757068963,0.9235907507534709,0.21546335473922618,0.7934084540560681,0.3031749764471038
